프로그램명,url,values,rating,장르,방송 채널,방송 시간
배틀트립,https://ko.wikipedia.org/wiki/%EB%B0%B0%ED%8B%80%ED%8A%B8%EB%A6%BD,"{'장르': '관찰 버라이어티, 여행', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2016년 4월 16일 ~ 2020년 4월 3일', '방송 시간': '매주 금요일 밤 8:30 ~ 9:45', '방송 분량': '75분', '방송 횟수': '177부작', '추가 채널': 'KBS 드라마, KBS 조이, KBS W, KBS 월드, KBS N 스포츠, 드라마 H', '기획': '감자 크리에이티브 그룹', '책임프로듀서': '권재영 (KBS 예능운영팀)', '프로듀서': '강보영', '제작사': 'KBS 예능본부', '연출': '손지원, 이유민, 구민정', '작가': '박원우, 최은영, 하선정, 박자영, 임승화, 이효연, 이보미, 정다은, 강솔비, 이한솔, 김초이, 최단비', '진행자': '본문 참조', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'KBS 배틀트립 홈페이지'}",7.4%,"관찰 버라이어티, 여행",KBS 2TV,매주 금요일 밤 8:30 ~ 9:45
신상출시 편스토랑,https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%83%81%EC%B6%9C%EC%8B%9C_%ED%8E%B8%EC%8A%A4%ED%86%A0%EB%9E%91,"{'장르': '요리', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 10월 25일 ~ 현재', '방송 시간': '매주 금요일 밤 9시 40분 ~ 11시 30분', '방송 분량': '100분', '방송 횟수': '88회 (2021년 7월 16일 기준)', '추가 채널': 'KBS 조이, KBS 드라마', '프로듀서': '강봉규 (KBS 예능운영팀)', '제작사': 'KBS 예능본부', '연출': '황성훈', '진행자': '본문 참조', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'KBS 2TV 신상출시 편스토랑 공식 홈페이지'}",3.7%,요리,KBS 2TV,매주 금요일 밤 9시 40분 ~ 11시 30분
옥탑방의 문제아들,https://ko.wikipedia.org/wiki/%EC%98%A5%ED%83%91%EB%B0%A9%EC%9D%98_%EB%AC%B8%EC%A0%9C%EC%95%84%EB%93%A4,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2018년 11월 7일 ~ 현재', '방송 시간': '매주 화요일 밤 10시 40분 ~ 12시', '방송 분량': '80분', '방송 횟수': '139회 (2021년 7월 20일 기준)', '추가 채널': 'U-KBS HEART, KBS 드라마, KBS 조이', '기획': 'KBS 예능본부', '책임프로듀서': '이세희', '제작사': '에프엔씨프로덕션', '출연자': '본문 참조', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'KBS 2TV 옥탑방의 문제아들 홈페이지'}",3.2%,리얼 버라이어티,KBS 2TV,매주 화요일 밤 10시 40분 ~ 12시
사장님 귀는 당나귀 귀,https://ko.wikipedia.org/wiki/%EC%82%AC%EC%9E%A5%EB%8B%98_%EA%B7%80%EB%8A%94_%EB%8B%B9%EB%82%98%EA%B7%80_%EA%B7%80,"{'장르': '관찰 버라이어티', '방송 국가': '대한민국', '방송 채널': 'KBS2, U-KBS HEART', '방송 기간': '2019년 4월 28일 ~현재', '방송 시간': '매주 일요일 오후 5:00 ~ 6:30', '방송 분량': '90분', '방송 횟수': '117회 (2021년 7월 18일 기준)', '프로듀서': '조현아', '제작사': 'KBS 예능본부', '연출': '이창수, 윤병일, 김태준, 박영광, 윤화정, 신정인', '진행자': '김숙, 전현무', '출연자': '#출연자 명단', '여는 곡': '지누션 - 말해줘', '닫는 곡': '지누션 - 말해줘', '외부 링크': '사장님 귀는 당나귀 귀 홈페이지'}",6.2%,관찰 버라이어티,"KBS2, U-KBS HEART",매주 일요일 오후 5:00 ~ 6:30
슈퍼맨이 돌아왔다,https://ko.wikipedia.org/wiki/%EC%8A%88%ED%8D%BC%EB%A7%A8%EC%9D%B4_%EB%8F%8C%EC%95%84%EC%99%94%EB%8B%A4,"{'장르': '관찰 버라이어티', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2013년 11월 3일 ~ 현재', '방송 시간': '일요일 밤 9:15 ~ 11:05', '방송 횟수': '391회 (2021년 7월 18일 기준)', '추가 채널': 'U-KBS HEART, KBS 조이, KBS 드라마, KBS 스토리, KBS 월드', '프로듀서': '강봉규 (KBS 예능운영팀)', '제작자': 'KBS 예능본부', '연출': '양혁, 이재현, 정동현, 이상혁', '조연출': '이은주, 김수현, 김지형, 백현정, 박우영, 이훈재', '구성': '백순영, 박상미, 권영, 이효영, 백지숙, 신세희, 윤지원, 유은희, 박은빈, 장희경', '진행자': '박솔미, 소유진  (385회 ~ 현재)', '출연자': '샘 해밍턴, 박주호, 박현빈, 이천수, 윤상현, 후지타 사유리', '음성': '2채널 돌비디지털', '자막': '청각 장애인들을 위한 자막 방송', '외부 링크': 'KBS 2TV 슈퍼맨이 돌아왔다 홈페이지'}",5.7%,관찰 버라이어티,KBS 2TV,일요일 밤 9:15 ~ 11:05
구해줘! 홈즈,https://ko.wikipedia.org/wiki/%EA%B5%AC%ED%95%B4%EC%A4%98%21_%ED%99%88%EC%A6%88,"{'장르': '리얼 버라이어티, 생활', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 3월 31일 ~ 현재', '방송 시간': '매주 일요일 밤 10:40 ~ 12:20', '방송 분량': '100분', '방송 횟수': '117회 (2021년 7월 18일 기준)', '추가 채널': 'MBC 드라마넷, MBC 에브리원, E채널, 드라마 H, NQQ, 코미디TV, 더 라이프', '기획': '박현석 (MBC 예능운영팀)', '제작자': 'MBC 예능본부', '연출': '임경식, 이민희', '작가': '정다운, 손미나, 장선아, 황지현, 연보라, 김하운, 우재연, 이혜민, 전선우, 김수민, 박진희, 박신정', '출연자': '김숙, 박나래, 장동민, 양세찬, 붐, 양세형,', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '관련 프로그램': '바꿔줘! 홈즈', '후편': '미정', '외부 링크': 'MBC 구해줘! 홈즈 홈페이지'}",5.2%,"리얼 버라이어티, 생활",MBC TV,매주 일요일 밤 10:40 ~ 12:20
황금어장 라디오스타,https://ko.wikipedia.org/wiki/%ED%99%A9%EA%B8%88%EC%96%B4%EC%9E%A5_%EB%9D%BC%EB%94%94%EC%98%A4%EC%8A%A4%ED%83%80,"{'장르': '예능', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2007년 5월 30일 ~ 현재', '방송 시간': '매주 수요일 밤 10시 20분 ~ 12시 40분', '방송 분량': '85분', '방송 횟수': '729회 (2021년 7월 14일 기준)', '추가 채널': 'MBC 드라마넷, MBC 에브리원, MBC 뮤직, E채널, 코미디 TV, Y-STAR 등', '기획': '김구산 (MBC 예능본부)', '연출': '최행호', '조연출': '조주연, 정겨운, 이민재, 이경은', '작가': '곽상원, 박숙진, 변은정, 박미르내, 이윤영, 김한슬', '진행자': '본문 참조', '여는 곡': ""Brother Louie Mix 98' (모던 토킹)"", '음성': '1채널 모노 사운드', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'MBC 황금어장 라디오스타 홈페이지'}",4.2%,예능,MBC TV,매주 수요일 밤 10시 20분 ~ 12시 40분
미스터리 음악쇼 복면가왕,https://ko.wikipedia.org/wiki/%EB%AF%B8%EC%8A%A4%ED%84%B0%EB%A6%AC_%EC%9D%8C%EC%95%85%EC%87%BC_%EB%B3%B5%EB%A9%B4%EA%B0%80%EC%99%95,"{'장르': '음악', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2015년 4월 5일 ~ 현재', '방송 시간': '매주 일요일 저녁 6:00 ~ 7:50', '방송 분량': '110분', '방송 횟수': '316회 (2021년 7월 18일 기준)', '추가 채널': 'MBC 드라마넷, MBC M', '책임프로듀서': '박정규', '제작자': 'MBC 예능본부', '연출': '김문기', '조연출': '남유정, 이정아, 심진경, 김해니, 이수진, 김다영글, 이민재, 노영경, 황민지, 강영현, 김경표', '작가': '박원우, 김소현, 신마정, 이이혜, 조졍인, 우정화, 유지해, 김향수, 윤아름, 백은아', '진행자': '김성주', '출연자': '#출연진', '음성': '1채널 모노 사운드', '자막': '폐쇄 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '관련 프로그램': '일밤', '외부 링크': 'MBC 복면가왕 홈페이지'}",6.8%,음악,MBC TV,매주 일요일 저녁 6:00 ~ 7:50
마이 리틀 텔레비전 V2,https://ko.wikipedia.org/wiki/%EB%A7%88%EC%9D%B4_%EB%A6%AC%ED%8B%80_%ED%85%94%EB%A0%88%EB%B9%84%EC%A0%84_V2,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 3월 29일 ~ 2020년 1월 20일', '방송 시간': '매주 월요일 밤 9:50 ~ 11:20', '방송 분량': '1시간 30분', '방송 횟수': '41부작', '추가 채널': 'MBC 에브리원, MBC 뮤직, MBC 드라마넷, 코미디TV, E채널', '기획': '강영선', '제작사': 'MBC 예능본부', '연출': '박진경, 권해봄', '관련 프로그램': '마이 리틀 텔레비전', '외부 링크': 'MBC 마이 리틀 텔레비전 V2 홈페이지'}",4.7%,리얼 버라이어티,MBC TV,매주 월요일 밤 9:50 ~ 11:20
놀면 뭐하니?,https://ko.wikipedia.org/wiki/%EB%86%80%EB%A9%B4_%EB%AD%90%ED%95%98%EB%8B%88%3F,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 7월 27일 ~ 현재', '방송 시간': '매주 토요일 저녁 6:30 ~ 7:55', '방송 분량': '1시간 25분', '방송 횟수': '101회 (2021년 7월 17일 기준)', '추가 채널': 'MBC 드라마넷, MBC 에브리원', '기획': '전진수 (MBC 예능운영팀)', '프로듀서': '김태호', '제작자': 'MBC 예능본부', '연출': '김태호, 채현석', '출연자': '유재석', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'MBC 놀면 뭐하니? 홈페이지'}",8.2%,리얼 버라이어티,MBC TV,매주 토요일 저녁 6:30 ~ 7:55
런닝맨_(텔레비전_프로그램),https://ko.wikipedia.org/wiki/%EB%9F%B0%EB%8B%9D%EB%A7%A8_%28%ED%85%94%EB%A0%88%EB%B9%84%EC%A0%84_%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8%29,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'SBS TV', '방송 기간': '2010년 7월 11일 ~ 현재', '방송 시간': '매주 일요일 오후 5:00 ~ 6:30', '방송 분량': '90분', '방송 횟수': '564회 (2021년 7월 18일 기준)', '추가 채널': 'SBS funE, NQQ, E채널', '프로듀서': '공희철', '제작사': 'SBS', '연출': '최보필', '출연자': '본문 참조', '음성': '1채널 돌비 디지털 (디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'SBS 런닝맨 홈페이지'}",,리얼 버라이어티,SBS TV,매주 일요일 오후 5:00 ~ 6:30
미운 우리 새끼,https://ko.wikipedia.org/wiki/%EB%AF%B8%EC%9A%B4_%EC%9A%B0%EB%A6%AC_%EC%83%88%EB%81%BC,"{'장르': '관찰 버라이어티', '방송 국가': '대한민국', '방송 채널': 'SBS TV', '방송 기간': '2016년 8월 26일 ~ 현재', '방송 시간': '매주 일요일 밤 9:05 ~ 11:05', '방송 분량': '120분', '방송 횟수': '251회 (2021년 7월 18일 기준)', '추가 채널': 'SBS 플러스, SBS funE, 드라맥스, 코미디 TV, E채널, CMC TV, 드라마 H', '책임프로듀서': '곽승영 (SBS 예능운영팀)', '제작자': 'SBS 예능본부', '연출': '박중원, 한승호, 백수진', '조연출': '김기태, 정지은, 김주원', '작가': '육소영, 강승희, 김보람,  최정원, 방유경, 김태림,  강유진, 지가은, 김은혜,  류지영, 신다솜', '진행자': '본문 참조', '출연자': '본문 참조', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'SBS 미운 우리 새끼 홈페이지'}",14.3%,관찰 버라이어티,SBS TV,매주 일요일 밤 9:05 ~ 11:05
집사부일체,https://ko.wikipedia.org/wiki/%EC%A7%91%EC%82%AC%EB%B6%80%EC%9D%BC%EC%B2%B4,"{'장르': '리얼 버라이어티', '방송 국가': '대한민국', '방송 채널': 'SBS TV', '방송 기간': '2017년 12월 31일 ~ 현재', '방송 시간': '매주 일요일 저녁 6:30 ~ 8:00', '방송 분량': '90분', '방송 횟수': '181회 (2021년 7월 18일 기준)', '추가 채널': 'SBS 플러스, SBS funE', '책임프로듀서': '유윤재 (SBS 예능운영팀)', '제작자': 'SBS 예능본부', '연출': '서미란, 김용호, 이세영, 김정욱, 한비인, 이홍희, 최형인, 안병욱, 정지은', '작가': '김명정, 정지숙, 이희수, 김다연, 김소영, 양희진, 유혜리, 이민정, 박지연', '출연자': '본문 참조', '음악': '본문 참조', '음성': '1채널 돌비 디지털 (디지털)', '자막': '청각 장애인들을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'SBS 집사부일체 홈페이지'}",4.1%,리얼 버라이어티,SBS TV,매주 일요일 저녁 6:30 ~ 8:00
백종원의 골목식당,https://ko.wikipedia.org/wiki/%EB%B0%B1%EC%A2%85%EC%9B%90%EC%9D%98_%EA%B3%A8%EB%AA%A9%EC%8B%9D%EB%8B%B9,"{'장르': '요리', '방송 국가': '대한민국', '방송 채널': 'SBS TV', '방송 기간': '2018년 1월 5일 ~ 현재', '방송 시간': '매주 수요일 밤 10:40 ~ 12:10', '방송 분량': '95분', '방송 횟수': '178회 (2021년 7월 14일 기준)', '추가 채널': 'SBS 플러스, SBS funE, NQQ, 드라마 H', '기획': 'SBS 예능본부', '책임프로듀서': '유윤재', '제작자': 'SBS 예능본부', '연출': '장승민, 김세원, 강철, 정우진, 윤종호', '조연출': '이명재', '작가': '황보경, 이혜민, 전주영, 이민정, 김민지, 한아름, 박민정, 강수진, 정세희, 이도희, 최민영, 임다솜, 홍현희, 김지우', '진행자': '본문 참조', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'SBS 백종원의 골목식당 홈페이지'}",3.7%,요리,SBS TV,매주 수요일 밤 10:40 ~ 12:10
유 퀴즈 온 더 블럭,https://ko.wikipedia.org/wiki/%EC%9C%A0_%ED%80%B4%EC%A6%88_%EC%98%A8_%EB%8D%94_%EB%B8%94%EB%9F%AD,"{'장르': '퀴즈 쇼', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '시즌 1\xa0: 2018년 8월 29일 ~ 2018년 11월 14일시즌 2\xa0: 2019년 4월 16일 ~ 2019년 12월 3일시즌 3\xa0: 2020년 3월 11일 ~ 현재', '방송 시간': '시즌 1\xa0: 수요일 밤 11시시즌 2\xa0: 화요일 밤 11시시즌 3\xa0: 수요일 밤 8시 40분', '방송 분량': '1시간 30분', '방송 횟수': '115회 (2021년 7월 14일 기준)', '책임프로듀서': '고민구', '연출': '김민석, 이지숙, 박종석, 박근형, 김남호, 정도담, 윤재원, 강효수, 박준영, 한재희, 김민지, 허은지, 한유진, 김재희, 이지협, 오현진, 조수현', '작가': '이언주, 조유림, 이향란, 김나라, 이선혜, 박승리, 허소영, 장윤아, 이지민, 손민이', '출연자': '유재석, 조세호', 'HD 방송 여부': 'HD'}",4.6%,퀴즈 쇼,tvN,시즌 1 : 수요일 밤 11시시즌 2 : 화요일 밤 11시시즌 3 : 수요일 밤 8시 40분
어쩌다 어른,https://ko.wikipedia.org/wiki/%EC%96%B4%EC%A9%8C%EB%8B%A4_%EC%96%B4%EB%A5%B8,"{'장르': '예능', '방송 국가': '대한민국', '방송 채널': 'O tvN', '방송 기간': '1기\xa0: 2015년 9월 10일 ~ 2018년 12월 19일  2기\xa0: 2019년 2월 28일 ~2019년 5월 2일', '방송 시간': '목요일 밤 8시 10분', '방송 횟수': '174부작', '추가 채널': 'tvN', '출연자': '하석진', '언어': '한국어', '음성': '2채널 돌비 디지털', 'HD 방송 여부': 'HD 제작 · 방송'}",8.1%,예능,O tvN,목요일 밤 8시 10분
킹덤_(2019년_드라마),https://ko.wikipedia.org/wiki/%ED%82%B9%EB%8D%A4_%282019%EB%85%84_%EB%93%9C%EB%9D%BC%EB%A7%88%29,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': '넷플릭스', '방송 기간': '2019년 1월 25일 (시즌 1)2020년 3월 13일 (시즌 2)2021년 7월 23일 (시즌 3)', '방송 횟수': '12회 (시즌 1 6회, 시즌 2 6회)', '원작': '김은희, 윤인완의 웹툰《신의 나라》', '기획': '넷플릭스', '프로듀서': '오승준', '촬영': '김태성', '제작사': '에이스토리', '제작자': '이상백', '연출': '김성훈 (시즌 1), 박인제(시즌 2)', '각본': '김은희', '출연자': '주지훈, 류승룡, 배두나 외', '음악': '목영진', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '킹덤 홈페이지'}",,드라마,넷플릭스,
아이콘택트,https://ko.wikipedia.org/wiki/%EC%95%84%EC%9D%B4%EC%BD%98%ED%83%9D%ED%8A%B8,"{'장르': '예능', '방송 국가': '대한민국', '방송 채널': '채널A', '방송 기간': '2019년 8월 5일 ~  2021년 1월 27일', '방송 시간': '수요일 밤 9시 50분', '방송 분량': '1시간 10분', '방송 횟수': '76부작', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '아이콘택트 홈페이지'}",4.4%,예능,채널A,수요일 밤 9시 50분
아스달 연대기,https://ko.wikipedia.org/wiki/%EC%95%84%EC%8A%A4%EB%8B%AC_%EC%97%B0%EB%8C%80%EA%B8%B0,"{'장르': '판타지 사극', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 6월 1일 ~ 2019년 7월 7일(시즌1)2019년 9월 7일 ~ 2019년 9월 22일 (시즌2)2021년  (시즌3)', '방송 시간': '매주 토요일, 일요일 밤 9시 ~ 10시 55분', '방송 분량': '70분', '방송 횟수': '18부작', '기획': '최진희', '제작사': '스튜디오 드래곤, KPJ', '연출': '김원석', '각본': '김영현, 박상연', '출연자': '장동건, 송중기, 김지원, 김옥빈 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '아스달 연대기 홈페이지'}",7.7%,판타지 사극,tvN,"매주 토요일, 일요일 밤 9시 ~ 10시 55분"
스트리트 푸드 파이터,https://ko.wikipedia.org/wiki/%EC%8A%A4%ED%8A%B8%EB%A6%AC%ED%8A%B8_%ED%91%B8%EB%93%9C_%ED%8C%8C%EC%9D%B4%ED%84%B0,"{'장르': '예능', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '시즌 1\xa0: 2018년 4월 23일 ~2018년 6월 11일   시즌 2\xa0: 2019년 9월 22일 ~  2019년11월24일', '방송 시간': '시즌 1\xa0: 월요일 밤 11시 00분 시즌 2\xa0: 일요일 밤 10시 50분', '방송 분량': '70분', '연출': '박희연, 임경아', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '스트리트 푸드 파이터 2 홈페이지'}",2.9%,예능,tvN,시즌 1 : 월요일 밤 11시 00분 시즌 2 : 일요일 밤 10시 50분
식객 허영만의 백반기행,https://ko.wikipedia.org/wiki/%EC%8B%9D%EA%B0%9D_%ED%97%88%EC%98%81%EB%A7%8C%EC%9D%98_%EB%B0%B1%EB%B0%98%EA%B8%B0%ED%96%89,"{'장르': '교양 (음식기행)', '방송 국가': '대한민국', '방송 채널': 'TV조선', '방송 기간': '2019년 5월 14일 ~ 현재', '방송 시간': '매주 금요일 저녁 8시', '책임프로듀서': '조승연', '연출': '황우광, 김건세, 김민태, 박보경, 강희재, 윤인선, 이진배, 이동재', '각본': '이윤희, 김민아, 박상희, 이민희, 김한결, 손유림, 안지하, 안다혜', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': 'TV조선 식객 허영만의 백반기행 홈페이지'}",2.3%,교양 (음식기행),TV조선,매주 금요일 저녁 8시
뭉쳐야 찬다,https://ko.wikipedia.org/wiki/%EB%AD%89%EC%B3%90%EC%95%BC_%EC%B0%AC%EB%8B%A4,"{'장르': '예능', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '시즌1\xa0: 2019년 6월 13일 ~ 2021년 1월 31일시즌2\xa0: 2021년 8월 1일 ~ 방영 예정', '방송 시간': '매주 일요일 저녁 7:40 ~ 10:00', '방송 분량': '140분', '방송 횟수': '시즌1\xa0: 82부작시즌2\xa0: 1회 (2021년 8월 1일 기준)', '추가 채널': 'JTBC2, JTBC4, 드라마 H, 라이프타임, 히스토리채널, JTBC 골프&스포츠', '기획': '성치경', '연출': '김진, 진달래, 맹지훈, 나현영, 김하나, 장금희, 정민경, 김희정, 전미소, 이준우, 김수진, 신은주, 최연우, 김상훈, 허수현', '조연출': '유채은, 김다희, 전효성, 허수정, 박건민, 이교근', '작가': '모은설, 신정희, 김아름, 고현정, 황소연, 조혜주, 임소민, 한경은, 신서경, 이지현', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '뭉쳐야 찬다 홈페이지'}",10.8%,예능,JTBC,매주 일요일 저녁 7:40 ~ 10:00
PRODUCE X 101,https://ko.wikipedia.org/wiki/PRODUCE_X_101,"{'장르': '리얼리티\n서바이벌\n음악', '방송 국가': '대한민국', '방송 채널': '엠넷', '방송 기간': '2019년 5월 3일 ~ 2019년 7월 19일', '방송 시간': '매주 금요일 오후 11시 ~ 토요일 오전 1시 20분', '방송 분량': '2시간', '방송 횟수': '12부작', '기획': 'CJ ENM', '프로듀서': '안준영', '진행자': '이동욱', '출연자': '이석훈\n신유미\n치타\n권재승\n최영준\n배윤정', '언어': '한국어', '음성': '2채널 돌비 디지털', '자막': '한국어', 'HD 방송 여부': '고선명 텔레비전 제작 ·  방송', '전편': 'PRODUCE 48', '외부 링크': '공식 웹사이트'}",,"리얼리티
서바이벌
음악",엠넷,매주 금요일 오후 11시 ~ 토요일 오전 1시 20분
1박 2일,https://ko.wikipedia.org/wiki/1%EB%B0%95_2%EC%9D%BC,"{'장르': '리얼 버라이어티, 여행', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2007년 8월 5일 ~ 현재', '방송 시간': '매주 일요일 오후 6:30 ~ 7:50', '방송 분량': '1시간 20분', '추가 채널': 'KBS 조이, KBS 드라마, KBS 월드', '기획': 'KBS 예능본부', '프로듀서': '김영도', '연출': '방글이, 구민정, 권재오, 박지은, 유지윤, 이희성', '작가': '박진영, 이지혜, 이고운, 백나미, 전소유, 차경진, 지예림', '출연자': '김종민, 연정훈, 김선호, 딘딘, 라비, 문세윤[1]', '자막': '폐쇄 자막[2]', '데이터 방송': 'SD 제작 · 방송:  (2007년 8월 5일 ~ 2010년 5월 16일) 1회 ~ 140회', 'HD 방송 여부': 'HD 제작 · 방송:  (2010년 5월 23일 ~ 2019년 3월 10일, 2019년 12월 8일 ~ 현재) 141회 ~ 현재', '관련 프로그램': '미녀들의 1박 2일', '전편': '준비됐어요', '외부 링크': '1박 2일 공식 홈페이지'}",10.8%,"리얼 버라이어티, 여행",KBS 2TV,매주 일요일 오후 6:30 ~ 7:50
왼손잡이 아내,https://ko.wikipedia.org/wiki/%EC%99%BC%EC%86%90%EC%9E%A1%EC%9D%B4_%EC%95%84%EB%82%B4,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 1월 2일 ~ 2019년 5월 31일', '방송 시간': '매주 평일 저녁 7:50 ~ 8:30 (본방송)매주 목요일 낮 12:10 ~ 오후 2:00 (재방송)', '방송 분량': '40분', '방송 횟수': '103부작', '기획': 'KBS 드라마본부', '책임프로듀서': '김상휘 → 문준하 (KBS 드라마운영팀)', '프로듀서': '최상열', '촬영': '김경호, 김길웅, 안덕철, 최기하, 최찬영, 한주열, 권혁균, 김필승', '제작사': '팬 엔터테인먼트', '제작자': '김희열', '연출': '김명욱', '조연출': '김경진, 장수미, 양광신, 오정민, 고금상', '각본': '문은아', '출연자': '이수경, 김진우, 진태현, 하연주, 이승연 외', '여는 곡': 'Various Artists - Left Hander', '닫는 곡': 'Various Artists - Left Hander', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', '외부 링크': '왼손잡이 아내 홈페이지'}",17.1%,드라마,KBS 2TV,매주 평일 저녁 7:50 ~ 8:30 (본방송)매주 목요일 낮 12:10 ~ 오후 2:00 (재방송)
