프로그램명,url,values,rating,장르,방송 채널,방송 시간
최고의 치킨,https://ko.wikipedia.org/wiki/%EC%B5%9C%EA%B3%A0%EC%9D%98_%EC%B9%98%ED%82%A8,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': '드라맥스, MBN', '방송 기간': '2019년 1월 2일 ~ 2019년 2월 7일', '방송 시간': '수요일, 목요일 밤 11시', '방송 횟수': '12부작', '제작사': 'iHQ, 메이퀸픽쳐스', '연출': '이승훈', '각본': '박찬영, 조아영', '출연자': '박선호, 김소혜, 주우재 외', 'HD 방송 여부': 'HD 제작 · 방송'}",1.3%,드라마,"드라맥스, MBN","수요일, 목요일 밤 11시"
개같다 거지같다 아름답다,https://ko.wikipedia.org/w/index.php?title=%EA%B0%9C%EA%B0%99%EB%8B%A4_%EA%B1%B0%EC%A7%80%EA%B0%99%EB%8B%A4_%EC%95%84%EB%A6%84%EB%8B%B5%EB%8B%A4&action=edit&redlink=1,,1.1%,,,
동네변호사 조들호 2: 죄와 벌,https://ko.wikipedia.org/wiki/%EB%8F%99%EB%84%A4%EB%B3%80%ED%98%B8%EC%82%AC_%EC%A1%B0%EB%93%A4%ED%98%B8_2:_%EC%A3%84%EC%99%80_%EB%B2%8C,"{'장르': '법률 드라마', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 1월 7일 ~ 2019년 3월 26일', '방송 시간': '매주 월요일, 화요일 밤 10:00 ~ 11:10', '방송 분량': '1시간 10분 (1회당 35분 / 2회 연속 방송)', '방송 횟수': '40부작 + 스페셜 1부작', '원작': '해츨링의 웹툰《동네변호사 조들호》', '기획': 'KBS 드라마본부', '책임프로듀서': '배경수 (KBS 드라마운영팀)', '프로듀서': '김형석', '제작사': '온누리미디어㈜UFO프로덕션,스튜디오인빅터스,씨너지인터내셔날', '제작자': '남궁견', '연출': '한상우, 이호, 김정권', '조연출': '함영걸, 안현민, 박우성', '각본': '김서연, 손세동, 이정필, 김영찬, 조혜빈', '출연자': '박신양, 고현정, 이민지, 변희봉 외', 'HD 방송 여부': 'HD 제작 · 방송', '전편': '동네변호사 조들호', '외부 링크': '동네변호사 조들호 2 홈페이지'}",9.3%,법률 드라마,KBS 2TV,"매주 월요일, 화요일 밤 10:00 ~ 11:10"
왕이 된 남자,https://ko.wikipedia.org/wiki/%EC%99%95%EC%9D%B4_%EB%90%9C_%EB%82%A8%EC%9E%90,"{'장르': '사극', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 1월 7일 ~ 2019년 3월 4일', '방송 횟수': '16부작', '원작': '영화 《광해, 왕이 된 남자》', '기획': '스튜디오 드래곤', '책임프로듀서': '장정도', '프로듀서': '이정묵 강상훈', '제작사': '스튜디오 드래곤 (주)지티스트', '제작자': '김규태', '연출': '김희원, 명현우', '각본': '김선덕, 신하은', '출연자': '여진구, 김상경, 이세영 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '왕이 된 남자 홈페이지'}",10.9%,사극,tvN,
왜그래 풍상씨,https://ko.wikipedia.org/wiki/%EC%99%9C%EA%B7%B8%EB%9E%98_%ED%92%8D%EC%83%81%EC%94%A8,"{'장르': '가족, 코미디', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 1월 9일 ~ 2019년 3월 14일', '방송 시간': '매주 수요일, 목요일 밤 10:00 ~ 11:10', '방송 분량': '70분 (1회당 35분 2회 연속 방송)', '방송 횟수': '40부작 + 스페셜 1부작', '추가 채널': 'KBS 드라마, KBS W, 스카이 드라마', '기획': 'KBS 드라마본부', '책임프로듀서': '이건준 (KBS 드라마운영팀)', '프로듀서': '김동휘, 이승범', '편집': '김금순', '제작사': '초록뱀미디어, 팬 엔터테인먼트', '제작자': '김상헌, 조형진', '연출': '진형욱, 이현석', '조연출': '홍은미, 김철민, 김민준', '각본': '문영남', '출연자': '유준상, 오지호, 전혜빈, 이시영, 이창엽 외', '음악': '개미', '여는 곡': '노을 - 꿈', '닫는 곡': '노을 - 꿈유준상 - 나는 행복한 사람', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '왜그래 풍상씨 홈페이지'}",22.7%,"가족, 코미디",KBS 2TV,"매주 수요일, 목요일 밤 10:00 ~ 11:10"
각색은 이미 시작됐다,https://ko.wikipedia.org/w/index.php?title=%EA%B0%81%EC%83%89%EC%9D%80_%EC%9D%B4%EB%AF%B8_%EC%8B%9C%EC%9E%91%EB%90%90%EB%8B%A4&action=edit&redlink=1,,0.6%,,,
용왕님 보우하사,https://ko.wikipedia.org/wiki/%EC%9A%A9%EC%99%95%EB%8B%98_%EB%B3%B4%EC%9A%B0%ED%95%98%EC%82%AC,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'MBC', '방송 기간': '2019년 1월 14일 ~ 2019년 7월 12일', '방송 시간': '매주 평일 오후 7:10 ~ 오후 7:55 [1회 ~ 5회]매주 평일 오후 7:15 ~ 오후 7:55 [6회~40회]매주 평일 오후 6:50 ~ 오후 7:30 [41회~121회]', '방송 분량': '40분', '방송 횟수': '121부작', '추가 채널': 'MBC 드라마넷', '기획': 'MBC 드라마본부', '제작사': 'MBC C&I', '제작자': '이민수', '연출': '최은경, 김용민', '극본': '최연걸', '출연자': '이소연, 재희, 조안, 김형민 외', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작·방송', '외부 링크': '용왕님 보우하사 홈페이지'}",9.5%,드라마,MBC,매주 평일 오후 7:10 ~ 오후 7:55 [1회 ~ 5회]매주 평일 오후 7:15 ~ 오후 7:55 [6회~40회]매주 평일 오후 6:50 ~ 오후 7:30 [41회~121회]
봄이 오나 봄,https://ko.wikipedia.org/wiki/%EB%B4%84%EC%9D%B4_%EC%98%A4%EB%82%98_%EB%B4%84,"{'방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 1월 23일 ~ 2019년 3월 21일', '방송 시간': '매주 수, 목 밤 10:00 ~ 11:10', '방송 분량': '70분 (1회당 35분)', '방송 횟수': '32부작', '기획': '박성은', '제작사': '제이에스픽쳐스', '제작자': '이진석', '연출': '김상호, 박승우', '각본': '이혜선', '출연자': '이유리, 엄지원, 이종혁, 최병모 외', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '봄이 오나 봄 홈페이지'}",4.3%,,MBC TV,"매주 수, 목 밤 10:00 ~ 11:10"
로맨스는 별책부록,https://ko.wikipedia.org/wiki/%EB%A1%9C%EB%A7%A8%EC%8A%A4%EB%8A%94_%EB%B3%84%EC%B1%85%EB%B6%80%EB%A1%9D,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 1월 26일 ~ 2019년 3월 17일', '방송 횟수': '16부작', '기획': '스튜디오드래곤', '제작사': '글앤그림미디어', '제작자': '황지우', '연출': '이정효', '각본': '정현정', '출연자': '이나영, 이종석, 정유진, 위하준 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '로맨스는 별책부록 홈페이지'}",6.7%,드라마,tvN,
반야,https://ko.wikipedia.org/wiki/%EB%B0%98%EC%95%BC,{},,,,
바벨,https://ko.wikipedia.org/wiki/%EB%B0%94%EB%B2%A8_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '범죄. 미스터리. 멜로', '방송 국가': '대한민국', '방송 채널': 'TV CHOSUN', '방송 기간': '2019년 1월 27일 ~ 2019년 3월 24일', '방송 시간': '토요일, 일요일 밤 10시 50분', '방송 횟수': '16부작 + 스페셜1부작', '추가 채널': 'TV조선2', '제작사': '하이그라운드, 원츠메이커 픽쳐스', '연출': '윤성식', '각본': '권순원, 박상욱', '출연자': '박시후, 장희진, 김해숙, 장신영,김지훈, 송재희, 임정은 외', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '바벨 홈페이지'}",3.7%,범죄. 미스터리. 멜로,TV CHOSUN,"토요일, 일요일 밤 10시 50분"
파고,https://ko.wikipedia.org/wiki/%ED%8C%8C%EA%B3%A0_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '범죄 드라마', '방송 국가': '미국', '방송 채널': 'FX', '방송 기간': '2014년 4월 15일 ~ 현재', '방송 분량': '48분 ~ 53분', '방송 횟수': '20'}",,범죄 드라마,FX,
진심이 닿다,https://ko.wikipedia.org/wiki/%EC%A7%84%EC%8B%AC%EC%9D%B4_%EB%8B%BF%EB%8B%A4,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 2월 6일 ~ 2019년 3월 28일', '방송 시간': '수요일, 목요일 밤 9시 30분 ~ 10시 50분', '방송 분량': '60분', '방송 횟수': '16부작', '원작': '예거의 웹소설《진심이 닿다》', '기획': '스튜디오드래곤', '책임프로듀서': '장정도', '프로듀서': '정다형', '편집': '오동희', '촬영': '이창재, 조대근', '제작사': '메가몬스터, 콘텐츠 지음', '제작자': '이준호, 한석원', '연출': '박준화, 최지영', '조연출': '이영옥, 최광식, 배희영, 박아름', '극본': '이명숙, 최보림', '출연자': '유인나, 이동욱, 이상우, 손성윤 외', '음악': '서성원, 이종수', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 ㆍ 방송', '외부 링크': '진심이 닿다 홈페이지'}",4.7%,드라마,tvN,"수요일, 목요일 밤 9시 30분 ~ 10시 50분"
리갈 하이,https://ko.wikipedia.org/wiki/%EB%A6%AC%EA%B0%88_%ED%95%98%EC%9D%B4_(2019%EB%85%84_%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 2월 8일 ~ 2019년 3월 30일', '방송 시간': '금요일, 토요일 밤 11시', '방송 횟수': '16부작', '원작': '일본의 드라마《리갈 하이》', '기획': 'JTBC', '제작사': '지앤지프로덕션, 이매진아시아', '제작자': '오성민, 곽홍석', '연출': '김정현, 김상호', '각본': '박성진', '출연자': '진구, 서은수, 윤박 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '리갈 하이 홈페이지'}",3.3%,드라마,JTBC,"금요일, 토요일 밤 11시"
막돼먹은 영애씨 17,https://ko.wikipedia.org/wiki/%EB%A7%89%EB%8F%BC%EB%A8%B9%EC%9D%80_%EC%98%81%EC%95%A0%EC%94%A8_17,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 2월 8일 ~ 2019년 4월 26일', '방송 시간': '매주 금요일 오후 11시', '방송 횟수': '12부작', '추가 채널': 'O tvN', '기획': '이명한', '책임프로듀서': '안상휘', '편집': '백은자', '제작사': 'CJ ENM', '연출': '한상재, 윤재순, 김새별, 조제욱', '조연출': '홍경득, 김태경, 유아라', '각본': '한설희, 백지현, 홍보희, 오은지', '구성': '정의정', '출연자': '김현숙, 이승준 외', '해설': '박형욱', 'HD 방송 여부': 'HD 제작 · 방송', '전편': '막돼먹은 영애씨 16', '외부 링크': '막돼먹은 영애씨 17 홈페이지'}",3.1%,드라마,tvN,매주 금요일 오후 11시
트랩,https://ko.wikipedia.org/wiki/%ED%8A%B8%EB%9E%A9_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '범죄', '방송 국가': '대한민국', '방송 채널': 'OCN', '방송 기간': '2019년 2월 9일 ~ 2019년 3월 3일', '방송 시간': '토요일, 일요일 밤 10시 20분', '방송 횟수': '7부작', '기획': 'OCN', '책임프로듀서': '한지형', '제작사': '필름몬스터', '제작자': '이재규, 박철수', '연출': '박신우', '조연출': '최현성, 김남수, 조윤희', '각본': '남상욱, 박신우', '출연자': '이서진, 성동일, 임화영 외', '언어': '한국어', '음성': '2채널 돌비 디지털', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '트랩 홈페이지'}",4.0%,범죄,OCN,"토요일, 일요일 밤 10시 20분"
눈이 부시게,https://ko.wikipedia.org/wiki/%EB%88%88%EC%9D%B4_%EB%B6%80%EC%8B%9C%EA%B2%8C,"{'장르': '로맨스, 판타지', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 2월 11일 ~ 2019년 3월 19일', '방송 시간': '매주 월, 화 밤 9:30', '방송 횟수': '12부작', '책임프로듀서': '김지연', '제작사': '드라마하우스', '제작자': '박준서', '연출': '김석윤', '각본': '이남규, 김수진', '출연자': '김혜자, 한지민, 남주혁 외', '음악': '김형석', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '눈이 부시게 홈페이지'}",9.7%,"로맨스, 판타지",JTBC,"매주 월, 화 밤 9:30"
아이템,https://ko.wikipedia.org/wiki/%EC%95%84%EC%9D%B4%ED%85%9C_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': 'SF, 판타지, 서스펜스', '방송 국가': '대한민국', '방송 채널': 'MBC TV', '방송 기간': '2019년 2월 11일 ~ 2019년 4월 2일', '방송 시간': '매주 월요일 ~ 화요일 밤  10:00 ~ 11:10', '방송 분량': '70분 (1회당 35분)', '방송 횟수': '32부작', '추가 채널': 'MBC 드라마넷', '원작': '민형, 김준석의 카카오페이지 웹툰《아이템》', '기획': '손형석', '프로듀서': '김호준, 김윤진, 김한길, 김재복', '제작사': 'MBC 드라마본부', '연출': '김성욱, 박미연', '각본': '정이도', '출연자': '주지훈, 진세연, 김강우, 김유리, 박원상', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '아이템 홈페이지'}",4.9%,"SF, 판타지, 서스펜스",MBC TV,매주 월요일 ~ 화요일 밤  10:00 ~ 11:10
해치,https://ko.wikipedia.org/wiki/%ED%95%B4%EC%B9%98_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '사극, 미스터리 수사물', '방송 국가': '대한민국', '방송 채널': '', '방송 기간': '2019년 2월 11일 ~ 2019년 4월 30일', '방송 시간': '매주 월, 화 밤  10:00 ~ 11:10', '방송 분량': '70분 (1회당 35분 / 2회 연속 방송)', '방송 횟수': '48부작', '추가 채널': 'SBS 플러스, CNTV', '책임프로듀서': '박영수', '프로듀서': 'SBS 드라마운영팀', '촬영': '박재홍', '제작사': '(주)김종학프로덕션', '제작자': '손기원', '연출': '이용석', '조연출': '한태섭', '작가': '김이영', '출연자': '정일우, 고아라, 권율, 박훈, 이경영, 정문성, 배정화, 한상진 외', '닫는 곡': '정인 - 순애보\n전우성 - 바람이 전하는 이야기', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '<해치> 홈페이지'}",8.4%,"사극, 미스터리 수사물",,"매주 월, 화 밤  10:00 ~ 11:10"
로스:타임:라이프 - 더 라스트 찬스,https://ko.wikipedia.org/w/index.php?title=%EB%A1%9C%EC%8A%A4:%ED%83%80%EC%9E%84:%EB%9D%BC%EC%9D%B4%ED%94%84_-_%EB%8D%94_%EB%9D%BC%EC%8A%A4%ED%8A%B8_%EC%B0%AC%EC%8A%A4&action=edit&redlink=1,,,,,
"신비아파트 외전: 기억, 하리 2","https://ko.wikipedia.org/wiki/%EC%8B%A0%EB%B9%84%EC%95%84%ED%8C%8C%ED%8A%B8_%EC%99%B8%EC%A0%84:_%EA%B8%B0%EC%96%B5,_%ED%95%98%EB%A6%AC_2","{'장르': 'TV 드라마, 호러, 로맨스', '방송 국가': '대한민국', '방송 채널': '투니버스, 대교어린이TV', '방송 기간': '2019년 2월 15일 ~ 4월 5일', '방송 시간': '금요일 20:00~', '방송 횟수': '8부작', '출연자': '박지예, 현준, 장소정, 정성영 외', '전편': '신비아파트 외전: 기억, 하리'}",,"TV 드라마, 호러, 로맨스","투니버스, 대교어린이TV",금요일 20:00~
열혈사제,https://ko.wikipedia.org/wiki/%EC%97%B4%ED%98%88%EC%82%AC%EC%A0%9C,"{'장르': '경찰, 액션, 블랙 코미디, 서스펜스', '방송 국가': '대한민국', '방송 채널': 'SBS', '방송 기간': '2019년 2월 15일 ~ 2019년 4월 20일', '방송 시간': '매주 금, 토 밤 10:00 ~ 11:10', '방송 분량': '1시간 10분 (1회당 35분 / 2회 연속방송)', '방송 횟수': '40부작', '기획': 'SBS 드라마본부', '제작사': '삼화네트웍스', '제작자': '안재현, 신상윤', '연출': '이명우, 박보람', '각본': '박재범', '출연자': '김남길, 김성균, 이하늬, 고준, 금새록 외', '여는 곡': '정동하 - Fighter (Feat. La.Q)', '닫는 곡': '노라조 - 우리동네 HERO펀치 - Breeze (Feat. 그리(GREE))정동하 - Fighter (Feat. La.Q)오담률 - Paradise (Feat. GA EUN)', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '<열혈사제> 홈페이지'}",22.0%,"경찰, 액션, 블랙 코미디, 서스펜스",SBS,"매주 금, 토 밤 10:00 ~ 11:10"
슬플 때 사랑한다,https://ko.wikipedia.org/wiki/%EC%8A%AC%ED%94%8C_%EB%95%8C_%EC%82%AC%EB%9E%91%ED%95%9C%EB%8B%A4,"{'장르': '드라마, 격정멜로, 막장', '방송 국가': '대한민국', '방송 채널': 'MBC', '방송 기간': '2019년 2월 23일 ~ 2019년 4월 27일', '방송 시간': '매주 토요일 밤 9:05 ~ 11:05', '방송 분량': '120분 (회당 30분 / 4회 연속 방송)', '방송 횟수': '40부작', '원작': '노지마 신지의 드라마《아름다운 사람》', '기획': '김승모', '프로듀서': '곽지훈', '제작사': 'DK E&M, 헬로콘텐츠', '제작자': '김동구, 최진호', '연출': '최이섭, 유범상', '조연출': '최선민, 유지원', '각본': '송정림', '출연자': '지현우, 박한별, 류수영, 왕빛나 외', '여는 곡': '듀에토 - 남몰래 흘리는 눈물(inst.)', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '슬플 때 사랑한다 홈페이지'}",13.0%,"드라마, 격정멜로, 막장",MBC,매주 토요일 밤 9:05 ~ 11:05
빅이슈,https://ko.wikipedia.org/wiki/%EB%B9%85%EC%9D%B4%EC%8A%88_(2019%EB%85%84_%EB%93%9C%EB%9D%BC%EB%A7%88),"{'방송 국가': '대한민국', '방송 채널': 'SBS', '방송 기간': '2019년 3월 6일 ~ 2019년 5월 2일', '방송 시간': '매주 수, 목 밤 10:00 ~ 11:10', '방송 분량': '70분 (1회당 35분)', '방송 횟수': '32부작', '기획': 'SBS 드라마본부', '제작사': 'HB엔터테인먼트', '제작자': '문보미', '연출': '이동훈, 박수진', '각본': '장혁린', '출연자': '주진모, 한예슬, 김희원, 신소율 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '<빅이슈> 홈페이지'}",4.8%,,SBS,"매주 수, 목 밤 10:00 ~ 11:10"
빙의,https://ko.wikipedia.org/wiki/%EB%B9%99%EC%9D%98_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'OCN', '방송 기간': '2019년 3월 6일 ~ 2019년 4월 25일', '방송 시간': '매주 수요일, 목요일 밤 11시', '방송 횟수': '16부작', '기획': '스튜디오드래곤', '책임프로듀서': '김건홍', '편집': '최연주', '제작사': '데이드림엔터테인먼트', '제작자': '송정우', '연출': '최도훈', '각본': '박희강', '출연자': '송새벽, 고준희, 연정훈, 조한선 외', '음악': '하근영', '언어': '한국어', '음성': '2채널 돌비 디지털', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '빙의 홈페이지'}",2.6%,드라마,OCN,"매주 수요일, 목요일 밤 11시"
사이코메트리 그녀석,https://ko.wikipedia.org/wiki/%EC%82%AC%EC%9D%B4%EC%BD%94%EB%A9%94%ED%8A%B8%EB%A6%AC_%EA%B7%B8%EB%85%80%EC%84%9D,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 3월 11일 ~ 2019년 4월 30일', '방송 횟수': '16부작', '기획': '스튜디오 드래곤', '제작사': '제이에스픽쳐스', '연출': '김병수, 오승열', '각본': '양진아', '출연자': '박진영, 신예은, 김권, 김다솜 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '사이코메트리 그녀석 홈페이지'}",2.8%,드라마,tvN,
닥터 프리즈너,https://ko.wikipedia.org/wiki/%EB%8B%A5%ED%84%B0_%ED%94%84%EB%A6%AC%EC%A6%88%EB%84%88,"{'장르': '범죄, 메디컬, 서스펜스', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 3월 20일 ~ 2019년 5월 15일', '방송 시간': '매주 수요일, 목요일 밤 10시 ~ 11시 10분', '방송 분량': '1시간 10분 (1회당 35분)', '방송 횟수': '32부작', '추가 채널': 'KBS 드라마, 드라맥스, KBS 월드, KBS W', '기획': '강병택 (KBS 드라마본부)', '책임프로듀서': '황의경 (KBS 드라마운영팀)', '프로듀서': '강민경, 김해정', '제작사': '주식회사 지담, 주식회사 엔케이물산', '제작자': '안형조, 남궁견', '연출': '황인혁, 송민엽', '각본': '박계옥', '출연자': '남궁민, 권나라, 김병철, 최원영,박은석, 이다인, 김정난, 장현성 외', '음악': '박세준', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '닥터 프리즈너 홈페이지'}",15.8%,"범죄, 메디컬, 서스펜스",KBS 2TV,"매주 수요일, 목요일 밤 10시 ~ 11시 10분"
세상에서 제일 예쁜 내 딸,https://ko.wikipedia.org/wiki/%EC%84%B8%EC%83%81%EC%97%90%EC%84%9C_%EC%A0%9C%EC%9D%BC_%EC%98%88%EC%81%9C_%EB%82%B4_%EB%94%B8,"{'방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 3월 23일 ~ 2019년 9월 22일', '방송 시간': '매주 주말 저녁 7시 55분 ~ 밤 9시 15분', '방송 분량': '1시간 20분', '방송 횟수': '108부작', '추가 채널': 'KBS 드라마', '기획': 'KBS', '책임프로듀서': '이건준 (KBS 드라마운영팀)', '프로듀서': '이재훈, 이승범', '촬영': '박성, 김경호', '제작사': '지앤지프로덕션, 미디어그룹 테이크투', '제작자': '오성민, 곽홍석, 최혁진', '연출': '김종창', '조연출': '이민수, 이해우, 곽정후, 제은빈', '각본': '조정선', '출연자': '김해숙, 김소연, 홍종현, 유선 외', '여는 곡': '주현미 - 야래향', '닫는 곡': '친자매 - Hello', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인들을 위한 자막방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '세상에서 제일 예쁜 내 딸 홈페이지'}",35.9%,,KBS 2TV,매주 주말 저녁 7시 55분 ~ 밤 9시 15분
자백,https://ko.wikipedia.org/wiki/%EC%9E%90%EB%B0%B1_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 3월 23일 ~ 2019년 5월 12일', '방송 횟수': '16부작', '기획': '스튜디오드래곤', '제작사': '에이스팩토리', '제작자': '민현일', '연출': '김철규, 윤현기', '각본': '임희철', '출연자': '이준호, 유재명, 신현빈, 남기애 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '자백 홈페이지'}",6.3%,드라마,tvN,
킬잇,https://ko.wikipedia.org/wiki/%ED%82%AC%EC%9E%87,"{'장르': '범죄, 액션', '방송 국가': '대한민국', '방송 채널': 'OCN', '방송 기간': '2019년 3월 23일 ~ 2019년 4월 28일', '방송 시간': '토요일, 일요일 밤 10시 20분', '방송 횟수': '12부작', '기획': 'OCN, 스튜디오드래곤', '제작사': '크레이브웍스', '연출': '남성우, 안지숙', '각본': '손현수, 최명진', '출연자': '장기용, 나나 외', '언어': '한국어', '음성': '2채널 돌비 디지털', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '킬잇 홈페이지'}",2.8%,"범죄, 액션",OCN,"토요일, 일요일 밤 10시 20분"
으라차차 와이키키 2,https://ko.wikipedia.org/wiki/%EC%9C%BC%EB%9D%BC%EC%B0%A8%EC%B0%A8_%EC%99%80%EC%9D%B4%ED%82%A4%ED%82%A4_2,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'JTBC', '방송 기간': '2019년 3월 25일 ~ 2019년 5월 14일', '방송 시간': '매주 월요일, 화요일 밤 9시 30분', '방송 분량': '70분', '방송 횟수': '16부작', '기획': 'JTBC', '제작사': '씨제스프로덕션, 드라마하우스', '제작자': '백창주, 박진형, 박준서', '연출': '이창민', '각본': '김기호, 송지은, 송미소, 서동범', '출연자': '김선호, 이이경, 신현수, 문가영, 안소희, 김예원 외', '음성': '2채널 돌비 디지털 (디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '전편': '으라차차 와이키키', '외부 링크': '으라차차 와이키키 2 홈페이지'}",2.1%,드라마,JTBC,"매주 월요일, 화요일 밤 9시 30분"
